-0,00004	0,00001	0,00005	0,00009	0,00008	0,00003	0,00011	0,00020	0,00036	0,00044	0,00063	0,00061	0,00067	0,00072	0,00066	0,00057	0,00046	0,00024	0,00020	0,00003	0,00003	0,00001	0,00003	-0,00008	0,00005	0,00003	0,00003	0,00010	0,00010	0,00011	0,00008
-0,00005	0,00006	0,00002	-0,00004	0,00011	0,00009	0,00019	0,00041	0,00049	0,00068	0,00088	0,00105	0,00126	0,00118	0,00128	0,00102	0,00081	0,00060	0,00043	0,00019	-0,00001	0,00002	0,00009	-0,00003	0,00002	-0,00001	-0,00000	0,00003	0,00010	0,00009	0,00004
0,00002	-0,00009	0,00002	0,00007	0,00008	0,00023	0,00027	0,00055	0,00084	0,00103	0,00132	0,00164	0,00202	0,00206	0,00191	0,00159	0,00135	0,00126	0,00092	0,00039	0,00016	0,00005	0,00003	0,00005	0,00006	-0,00003	-0,00008	0,00005	0,00007	0,00004	-0,00007
0,00003	0,00011	-0,00006	0,00004	0,00019	0,00038	0,00041	0,00079	0,00107	0,00140	0,00180	0,00235	0,00270	0,00305	0,00278	0,00225	0,00213	0,00182	0,00144	0,00070	0,00037	0,00007	0,00002	0,00004	-0,00003	0,00002	0,00005	0,00004	0,00009	0,00012	0,00012
-0,00002	0,00007	0,00000	0,00009	0,00019	0,00037	0,00049	0,00082	0,00134	0,00174	0,00227	0,00280	0,00343	0,00355	0,00323	0,00274	0,00260	0,00246	0,00179	0,00125	0,00088	0,00017	-0,00000	0,00011	-0,00003	-0,00000	-0,00002	-0,00003	0,00013	-0,00004	0,00009
-0,00005	0,00003	0,00007	0,00011	0,00022	0,00035	0,00068	0,00108	0,00138	0,00190	0,00243	0,00293	0,00329	0,00333	0,00298	0,00281	0,00300	0,00287	0,00221	0,00186	0,00130	0,00046	0,00001	0,00004	0,00008	-0,00004	0,00007	-0,00004	0,00007	0,00009	0,00003
0,00005	-0,00004	0,00006	0,00010	0,00025	0,00032	0,00069	0,00106	0,00142	0,00187	0,00230	0,00269	0,00268	0,00242	0,00216	0,00257	0,00300	0,00316	0,00269	0,00222	0,00150	0,00054	0,00007	-0,00005	-0,00005	-0,00005	0,00004	0,00004	0,00009	0,00020	0,00003
0,00009	-0,00000	0,00011	0,00020	0,00015	0,00043	0,00071	0,00101	0,00149	0,00180	0,00209	0,00221	0,00187	0,00145	0,00155	0,00231	0,00307	0,00349	0,00330	0,00246	0,00142	0,00041	0,00003	0,00004	0,00003	0,00003	-0,00010	0,00006	0,00014	0,00001	0,00028
0,00001	-0,00011	0,00005	0,00017	0,00017	0,00035	0,00065	0,00106	0,00131	0,00168	0,00185	0,00179	0,00149	0,00111	0,00141	0,00259	0,00360	0,00397	0,00365	0,00256	0,00132	0,00034	0,00009	0,00001	-0,00004	-0,00008	-0,00012	0,00008	0,00015	0,00012	0,00011
0,00005	0,00003	-0,00004	0,00011	0,00014	0,00038	0,00066	0,00090	0,00133	0,00174	0,00175	0,00175	0,00142	0,00157	0,00217	0,00320	0,00426	0,00409	0,00326	0,00215	0,00101	0,00053	0,00005	0,00005	0,00005	0,00004	-0,00001	-0,00008	0,00015	0,00026	0,00021
-0,00006	-0,00003	0,00004	0,00006	0,00011	0,00045	0,00052	0,00080	0,00133	0,00160	0,00185	0,00188	0,00207	0,00228	0,00308	0,00382	0,00425	0,00380	0,00294	0,00194	0,00094	0,00026	0,00003	0,00004	0,00006	0,00002	0,00005	0,00004	0,00030	0,00046	0,00032
0,00001	-0,00000	0,00001	0,00002	0,00008	0,00026	0,00052	0,00071	0,00118	0,00164	0,00197	0,00220	0,00253	0,00303	0,00355	0,00395	0,00400	0,00330	0,00240	0,00150	0,00073	0,00000	-0,00005	-0,00006	0,00017	-0,00005	-0,00009	0,00011	0,00022	0,00050	0,00033
0,00003	-0,00005	0,00013	0,00009	0,00020	0,00028	0,00033	0,00066	0,00101	0,00132	0,00176	0,00216	0,00259	0,00316	0,00345	0,00344	0,00312	0,00269	0,00171	0,00104	0,00035	0,00017	0,00006	-0,00001	-0,00000	-0,00012	0,00002	0,00002	0,00066	0,00040	0,00017
-0,00007	0,00001	0,00005	0,00002	0,00007	0,00017	0,00031	0,00052	0,00086	0,00109	0,00152	0,00189	0,00207	0,00264	0,00269	0,00266	0,00225	0,00175	0,00107	0,00053	0,00024	0,00007	0,00001	0,00004	0,00005	0,00005	-0,00005	-0,00000	0,00037	0,00050	0,00014
0,00006	-0,00006	-0,00003	0,00004	0,00007	0,00017	0,00026	0,00042	0,00067	0,00087	0,00122	0,00147	0,00165	0,00194	0,00179	0,00187	0,00147	0,00102	0,00056	0,00034	0,00007	0,00007	0,00001	-0,00006	0,00009	0,00005	-0,00009	0,00002	0,00043	0,00032	0,00012
0,00001	-0,00008	0,00006	-0,00004	-0,00003	0,00002	0,00015	0,00021	0,00037	0,00062	0,00089	0,00104	0,00127	0,00132	0,00117	0,00119	0,00088	0,00063	0,00036	0,00014	0,00002	0,00003	-0,00006	-0,00001	0,00014	0,00002	-0,00001	0,00002	0,00030	0,00022	0,00029
0,00005	0,00002	-0,00008	0,00004	0,00008	0,00014	0,00010	0,00020	0,00032	0,00039	0,00054	0,00069	0,00068	0,00069	0,00068	0,00065	0,00055	0,00033	-0,00001	0,00004	-0,00003	0,00005	0,00008	-0,00000	0,00008	-0,00002	-0,00005	-0,00001	0,00019	0,00025	0,00006
-0,00004	-0,00003	0,00008	-0,00010	0,00005	0,00006	0,00007	0,00015	0,00019	0,00027	0,00033	0,00048	0,00047	0,00036	0,00041	0,00025	0,00032	0,00025	0,00001	-0,00004	0,00004	-0,00000	0,00001	0,00003	0,00014	-0,00003	-0,00002	-0,00007	0,00025	0,00025	0,00018
0,00005	0,00002	0,00009	0,00010	-0,00003	0,00006	0,00007	0,00003	0,00010	0,00021	0,00019	0,00026	0,00031	0,00025	0,00028	0,00018	0,00009	0,00020	0,00007	0,00003	0,00005	-0,00003	-0,00000	-0,00004	0,00007	0,00009	-0,00004	0,00004	0,00028	0,00002	0,00024
